,timestep,iteration_0_avg_dist_timestep,iteration_0_avg_velo_timestep,timestep,iteration_1_avg_dist_timestep,iteration_1_avg_velo_timestep,timestep,iteration_2_avg_dist_timestep,iteration_2_avg_velo_timestep,timestep,iteration_3_avg_dist_timestep,iteration_3_avg_velo_timestep,timestep,iteration_4_avg_dist_timestep,iteration_4_avg_velo_timestep,timestep,iteration_5_avg_dist_timestep,iteration_5_avg_velo_timestep,timestep,iteration_6_avg_dist_timestep,iteration_6_avg_velo_timestep,timestep,iteration_7_avg_dist_timestep,iteration_7_avg_velo_timestep,timestep,iteration_8_avg_dist_timestep,iteration_8_avg_velo_timestep,timestep,iteration_9_avg_dist_timestep,iteration_9_avg_velo_timestep
0,0.0,48.44886061181017,,0.0,49.719466043815494,,0.0,51.001090506571195,,0.0,49.0920522782221,,0.0,47.65016580576495,,0.0,49.99535721725524,,0.0,46.69306288179697,,0.0,48.91768668951331,,0.0,46.966987191451864,,0.0,48.77168171493097,
1,20.0,48.27305165660768,0.10987220475713894,20.0,49.37297703542261,0.11242008605291202,20.0,50.543972831226355,0.11603921248604364,20.0,48.679669193127495,0.10295718054093515,20.0,47.367617598435444,0.10277536968093474,20.0,49.537097330164514,0.11173286787040825,20.0,46.53792695105432,0.10027743989094809,20.0,48.52487363701681,0.1139050875080929,20.0,46.91491151107798,0.1048030517187162,20.0,48.57393327844021,0.11264052403498058
2,40.0,47.93804987279204,0.09153669964296135,40.0,48.91704703584149,0.09647353595226418,40.0,49.99696288652881,0.09759162949421954,40.0,48.16170166632471,0.08467495961035049,40.0,47.072149521231516,0.08977881193470846,40.0,49.00095071406966,0.09167908088830976,40.0,46.24380860474955,0.08516964493562773,40.0,47.97419397082602,0.09294678227687056,40.0,46.75244628936758,0.09120642393757787,40.0,48.2494931044536,0.09699374213264667
3,60.0,47.49192248411334,0.08733262883102527,60.0,48.41637975952866,0.09019452530945851,60.0,49.3919864360957,0.09006523453233437,60.0,47.704317872803394,0.08244564883593082,60.0,46.55694423030875,0.08582981043035498,60.0,48.43960699774375,0.08937342515820955,60.0,45.69291889648148,0.08120325885285185,60.0,47.40663879710208,0.08846571900315264,60.0,46.488573480915235,0.08620785837171059,60.0,47.68955311704296,0.09165768236033181
4,80.0,47.04736811593762,0.08361333700269552,80.0,47.756987596350164,0.08864282886184416,80.0,48.60665032822854,0.0850863315931013,80.0,47.091481343314676,0.08143533784401145,80.0,46.162631950681025,0.08288467275004331,80.0,47.55962879260461,0.08547532023717566,80.0,45.342631651232594,0.08121814233160059,80.0,46.67443230123995,0.0834719230084989,80.0,46.04851383868956,0.08527692925075481,80.0,47.30262869390469,0.08835597483130872
5,100.0,46.65279760341742,0.08085578736297952,100.0,47.27514068580871,0.08816192680224216,100.0,48.00099873406752,0.08274834381652384,100.0,46.46453267695027,0.07865041812982429,100.0,45.58735405448794,0.07879004266725172,100.0,46.90258400818678,0.08198023592043077,100.0,44.89673946962934,0.07741881697044908,100.0,46.10283977907724,0.08034116694307517,100.0,45.730368795877325,0.0845114724102129,100.0,46.741164508100965,0.08618934501105098
6,120.0,46.096947880646574,0.07992335395317986,120.0,46.63527529620756,0.0846122172547186,120.0,47.23651708972126,0.08088777922322199,120.0,45.842063589608685,0.07643618766617724,120.0,45.015943881782114,0.07457752514063005,120.0,46.16412392810057,0.07830825207799459,120.0,44.40094521262144,0.07525976745996996,120.0,45.42959865028004,0.07726677025778987,120.0,45.05723310636286,0.08072342197251166,120.0,46.34121780689781,0.08631935446124062
7,140.0,45.53320773080278,0.0786625812268881,140.0,45.975654296821155,0.08089294614959164,140.0,46.46323835713912,0.08007617806356178,140.0,45.24545834537522,0.07581619001777831,140.0,44.63832306093634,0.07411029611085022,140.0,45.40276877703616,0.07582299767223745,140.0,43.889833086029626,0.07017653504372712,140.0,44.79405973251445,0.07198621515596017,140.0,44.69259334816586,0.07916018682736184,140.0,45.779677664329576,0.08301004994206058
8,160.0,44.97793381497627,0.07765609875075292,160.0,45.343004918644446,0.07855785397164877,160.0,45.70496507454946,0.07420345443059534,160.0,44.65828586755684,0.07383618596354342,160.0,44.20519174968353,0.07566496318524756,160.0,44.91940512803235,0.07792525401088778,160.0,43.60512352287818,0.0754050989072124,160.0,44.189450122968076,0.07139766136187044,160.0,44.23699419525158,0.07559945166710212,160.0,45.248095498863705,0.08063263012209859
9,180.0,44.50213030249107,0.07632904057266379,180.0,44.92340522770096,0.08216429974081062,180.0,45.03644494348776,0.07507185951980133,180.0,44.10734974493012,0.07336189276681318,180.0,43.63115468913563,0.07152409852018081,180.0,44.21381479138022,0.07387884303813606,180.0,43.055467463531016,0.07104147943169131,180.0,43.652310458007875,0.06982787829816295,180.0,43.80307032187541,0.07145934866487437,180.0,44.715569319566335,0.07975643971277535
10,200.0,44.02613999350814,0.07491341862069417,200.0,44.24571130195689,0.07746749419447457,200.0,44.4187444143818,0.07384045775526324,200.0,43.56473045918266,0.07169032409571245,200.0,43.12801252130824,0.06753287474985709,200.0,43.56954030054406,0.07226005507183712,200.0,42.56338502561028,0.06756065254808116,200.0,43.13508359918723,0.06700835824827629,200.0,43.2530919291166,0.06855784129661815,200.0,44.21705812596428,0.07968969309527149
