,timestep,iteration_0_avg_dist_timestep,iteration_0_avg_velo_timestep,timestep,iteration_1_avg_dist_timestep,iteration_1_avg_velo_timestep,timestep,iteration_2_avg_dist_timestep,iteration_2_avg_velo_timestep,timestep,iteration_3_avg_dist_timestep,iteration_3_avg_velo_timestep,timestep,iteration_4_avg_dist_timestep,iteration_4_avg_velo_timestep,timestep,iteration_5_avg_dist_timestep,iteration_5_avg_velo_timestep,timestep,iteration_6_avg_dist_timestep,iteration_6_avg_velo_timestep,timestep,iteration_7_avg_dist_timestep,iteration_7_avg_velo_timestep,timestep,iteration_8_avg_dist_timestep,iteration_8_avg_velo_timestep,timestep,iteration_9_avg_dist_timestep,iteration_9_avg_velo_timestep
0,0.0,48.69521835024238,,0.0,48.043609553150645,,0.0,49.450611670719226,,0.0,48.90551987984022,,0.0,48.93568174504073,,0.0,49.777670296409745,,0.0,50.141366567028925,,0.0,49.01887506190926,,0.0,48.446048000635564,,0.0,49.39478923479824,
1,20.0,47.58826018390961,0.10393643688764752,20.0,46.96975565890812,0.10498382466272001,20.0,48.29152250447479,0.10297188804921821,20.0,47.77912000557416,0.10274164528298468,20.0,47.848814811095124,0.10263331344894928,20.0,48.633745695123615,0.10392276342763067,20.0,49.01590584006112,0.10437171642258357,20.0,48.004195930861414,0.10501145690668155,20.0,47.32653371809961,0.10367903790189528,20.0,48.26694453353623,0.10410454327618361
2,40.0,46.470838951606495,0.10178503856384964,40.0,45.88168438434162,0.10366095453542153,40.0,47.13821058369721,0.10250138479140711,40.0,46.649396396383466,0.10059278932074554,40.0,46.735732208534536,0.1023499176435263,40.0,47.478876361606254,0.10210049233243342,40.0,47.87583428572686,0.10282731975170692,40.0,46.978792749590035,0.1024587953799295,40.0,46.218930930755675,0.1029820059595893,40.0,47.13670384662023,0.10209333376300239
3,60.0,45.33607589843841,0.10083578806327063,60.0,44.79256349154754,0.10409248701753902,60.0,45.98889261680105,0.1031143659710815,60.0,45.53273538634293,0.10180145579585499,60.0,45.61835436693692,0.10223231411092788,60.0,46.320933262713254,0.10249250218515195,60.0,46.731809079781385,0.10325509426649433,60.0,45.91936738030232,0.10445895520761826,60.0,45.08076423895517,0.10331975686305879,60.0,46.00201371477872,0.10109355011538222
4,80.0,44.189317631581446,0.09818067946336657,80.0,43.70325222809917,0.10317742147098487,80.0,44.79781558512971,0.10235111095708728,80.0,44.31852231474364,0.1010635395133152,80.0,44.54491185459878,0.10205695619012699,80.0,45.16804431618087,0.102244996059958,80.0,45.5867050500463,0.10234772438335074,80.0,44.85168747822441,0.10441028367785057,80.0,43.86777958319557,0.10265078113654787,80.0,44.85838016977857,0.10051177682113886
5,100.0,42.997640723972765,0.09735195117280498,100.0,42.58560157692142,0.10208863103544902,100.0,43.51117015850786,0.10027515746894494,100.0,43.0973839019094,0.10012162231473044,100.0,43.39794424180132,0.10076271765271402,100.0,43.91567152499518,0.1004036472203729,100.0,44.34349150564716,0.10245571087827321,100.0,43.81179608221321,0.10365488849778107,100.0,42.78561079956173,0.09869973495875191,100.0,43.6613602810088,0.09910836210518859
6,120.0,41.96807045847063,0.09767474412075942,120.0,41.39727812297398,0.09932197203962778,120.0,42.32721849871943,0.09784426198937471,120.0,41.877375342885536,0.09704736912642484,120.0,42.315093348800126,0.09619857975661554,120.0,42.68489632965541,0.09848676757557316,120.0,43.27793687017311,0.09982287794885848,120.0,42.65244311729933,0.10070902556315181,120.0,41.56652443485994,0.09586667072453078,120.0,42.42997198717466,0.09619664348818997
7,140.0,40.78640564023889,0.09520899897791114,140.0,40.24365943816312,0.09734391571430936,140.0,40.97355871093331,0.09530966103332793,140.0,40.60861714129159,0.09534840247589647,140.0,41.013253539447135,0.0922160598686793,140.0,41.479162180475015,0.09445200456274286,140.0,42.02539814221187,0.09798092455326282,140.0,41.62068520872151,0.09754726099030654,140.0,40.413852727937815,0.09041211904280613,140.0,41.20029801513029,0.09211936897421087
8,160.0,39.64482438827779,0.09108986173717859,160.0,39.18969367550186,0.09423735863131832,160.0,39.83994373119536,0.09091908092746998,160.0,39.492361195306025,0.09193905123637901,160.0,39.904223800002434,0.0900132447879208,160.0,40.262644890128016,0.09107253965579257,160.0,40.76001344898662,0.09549113980564787,160.0,40.54051967785648,0.09543002591207159,160.0,39.23036859551542,0.08580604832990137,160.0,40.056377833593366,0.09010437764300538
9,180.0,38.509114364312076,0.08651974604916034,180.0,38.05701821441608,0.08972956389727617,180.0,38.686701203558954,0.08841442551896825,180.0,38.21772222558935,0.08533585473186396,180.0,38.767128224961276,0.08892567043419759,180.0,39.03949283325998,0.08817992600174988,180.0,39.54981562775408,0.0915067330210539,180.0,39.51963080452011,0.09450119872959417,180.0,38.12755652471204,0.08236966469844831,180.0,38.85618253593089,0.08740890626863045
