,timestep,iteration_0_avg_dist_timestep,iteration_0_avg_velo_timestep,timestep,iteration_1_avg_dist_timestep,iteration_1_avg_velo_timestep,timestep,iteration_2_avg_dist_timestep,iteration_2_avg_velo_timestep,timestep,iteration_3_avg_dist_timestep,iteration_3_avg_velo_timestep,timestep,iteration_4_avg_dist_timestep,iteration_4_avg_velo_timestep,timestep,iteration_5_avg_dist_timestep,iteration_5_avg_velo_timestep,timestep,iteration_6_avg_dist_timestep,iteration_6_avg_velo_timestep,timestep,iteration_7_avg_dist_timestep,iteration_7_avg_velo_timestep,timestep,iteration_8_avg_dist_timestep,iteration_8_avg_velo_timestep,timestep,iteration_9_avg_dist_timestep,iteration_9_avg_velo_timestep
0,0.0,48.276132583854306,,0.0,49.23187093410968,,0.0,49.0586514662669,,0.0,47.54324206420309,,0.0,49.181825707091434,,0.0,50.80612398346964,,0.0,48.3718915742326,,0.0,49.28698895264237,,0.0,50.21935673796976,,0.0,49.68464466036419,
1,20.0,47.63033454216961,0.06374717771679825,20.0,48.57395457380921,0.06499473743278356,20.0,48.42438931615909,0.06375458339632939,20.0,46.943801352464675,0.06523417339043977,20.0,48.52801259936125,0.06509052861448035,20.0,50.175588883616115,0.06464216249846066,20.0,47.77206460649274,0.06397141288541008,20.0,48.61938678857659,0.06305381674644756,20.0,49.54390895720269,0.06521197650603175,20.0,49.017570209065255,0.06363138194406719
2,40.0,46.95395965076473,0.05937977455354206,40.0,47.89562254368283,0.06065685902008104,40.0,47.76888534131856,0.060189068288925264,40.0,46.309267718704355,0.06156954845124268,40.0,47.85462650267788,0.062070444055066024,40.0,49.52395459514266,0.0606428041038368,40.0,47.169527810121416,0.06048008849743857,40.0,47.90852824295601,0.0610334182322855,40.0,48.814307001066894,0.06222667539855925,40.0,48.339444733574055,0.05906551568038038
3,60.0,46.2648599220276,0.05949013746609787,60.0,47.16661553870364,0.06046988476277819,60.0,47.101121267830145,0.06083014167802179,60.0,45.667530425520226,0.061926030073691754,60.0,47.137639918691725,0.06194247789506085,60.0,48.85543454110562,0.06108750963938418,60.0,46.55178845573813,0.060763588277452436,60.0,47.194856746366376,0.060624924162806536,60.0,48.06015924279918,0.06277520861330557,60.0,47.620885605195184,0.05922750975554552
4,80.0,45.561775706036464,0.05942188397693642,80.0,46.427674662977516,0.06030627090690605,80.0,46.436041816977124,0.061304677633687035,80.0,45.00128470719535,0.06315682445921615,80.0,46.41646069191917,0.0615715724135886,80.0,48.15828334504515,0.06122786596854943,80.0,45.91576502843336,0.05980715314374715,80.0,46.46607166802783,0.05976541203244713,80.0,47.29895758514784,0.06303592989405281,80.0,46.88296027152368,0.05952571515591603
5,100.0,44.86932074041272,0.05894534790156472,100.0,45.710906182847026,0.05991794312712794,100.0,45.77658707823892,0.06214768383987717,100.0,44.34701960325038,0.06247829894788909,100.0,45.655725052118804,0.06238371920907529,100.0,47.466859250176405,0.06234054792596026,100.0,45.27892213372845,0.06030373235776002,100.0,45.71472223111274,0.06022495896744174,100.0,46.584183716850205,0.0635750341505538,100.0,46.144666459334715,0.058909056868701064
6,120.0,44.19722683180899,0.05875599615900049,120.0,45.03035472244052,0.058952991173936105,120.0,45.11489162078081,0.062153897817859315,120.0,43.692195808742035,0.06158953862797051,120.0,44.91741139230495,0.06169410132652241,120.0,46.76346616540923,0.06179310796793122,120.0,44.65408846094292,0.05922469188352973,120.0,44.99843010689778,0.059649200139611565,120.0,45.87788328786539,0.06364558283649231,120.0,45.43105612488731,0.05804703276296685
7,140.0,43.53669832096357,0.05791710147865198,140.0,44.24004469089759,0.057293785454624616,140.0,44.442406137407005,0.06098898853479697,140.0,43.01598395953155,0.06251618134246574,140.0,44.2122106416186,0.06039626730398917,140.0,46.04959189305418,0.061314245198772654,140.0,44.01547920622836,0.058001173814719725,140.0,44.30557751234476,0.05812578912544786,140.0,45.17219039522135,0.06226901362236229,140.0,44.71781681859226,0.05727350267644271
8,160.0,42.88273277525296,0.05672247946441408,160.0,43.57456563031636,0.05769400969678806,160.0,43.801541180371,0.06052736845254389,160.0,42.37322519210375,0.0601901312447125,160.0,43.5423836143337,0.058558262781968046,160.0,45.356134308499215,0.05978304901736086,160.0,43.37150252689652,0.05601450760805766,160.0,43.62419596437814,0.05862568990518276,160.0,44.49424877098119,0.06107361352983941,160.0,44.028368450706694,0.05613706025421208
9,180.0,42.2489770474216,0.05564754319477708,180.0,42.89486967827686,0.05615159087038863,180.0,42.99513257983368,0.0583988497971161,180.0,41.77174906328051,0.06025115984646175,180.0,42.87662595634837,0.05773670722162983,180.0,44.68389878239329,0.05927742200378687,180.0,42.584778136639414,0.055328966547075885,180.0,42.979946572017795,0.05779896852353296,180.0,43.82488218736272,0.060619002436612765,180.0,43.35042721939787,0.05535386771660704
10,200.0,41.49478982451662,0.05599509779263199,200.0,42.226241873559495,0.05535752772433783,200.0,42.40525924222868,0.058153471749598014,200.0,41.01073190344063,0.06013830997888545,200.0,42.05305176494658,0.05711433199214617,200.0,43.881252148489416,0.057749335514999736,200.0,41.93377677343067,0.055316367818562945,200.0,42.32619822216368,0.057263245824383455,200.0,43.186528005848736,0.059219119818452653,200.0,42.55120201184142,0.05563474200114577
